x-axis,1,2,F1
second,Volt,Volt,Volt
-20.80000E-03,-442.21105E-03,+241.20603E-03,-722.83936E-03
-20.77500E-03,-442.21105E-03,+301.50753E-03,-712.79907E-03
-20.75000E-03,-422.11055E-03,+281.40703E-03,-682.67822E-03
-20.72500E-03,-432.16080E-03,+281.40703E-03,-712.79907E-03
-20.70000E-03,-402.01005E-03,+281.40703E-03,-682.67822E-03
-20.67500E-03,-361.80904E-03,+241.20603E-03,-682.67822E-03
-20.65000E-03,-381.90954E-03,+281.40703E-03,-642.51709E-03
-20.62500E-03,-391.95979E-03,+281.40703E-03,-672.63794E-03
-20.60000E-03,-361.80904E-03,+281.40703E-03,-642.51709E-03
-20.57500E-03,-351.75879E-03,+321.60804E-03,-642.51709E-03
-20.55000E-03,-321.60804E-03,+321.60804E-03,-642.51709E-03
-20.52500E-03,-321.60804E-03,+321.60804E-03,-632.47681E-03
-20.50000E-03,-281.40703E-03,+321.60804E-03,-602.35596E-03
-20.47500E-03,-261.30653E-03,+321.60804E-03,-572.23511E-03
-20.45000E-03,-281.40703E-03,+301.50753E-03,-602.35596E-03
-20.42500E-03,-251.25628E-03,+321.60804E-03,-602.35596E-03
-20.40000E-03,-241.20603E-03,+321.60804E-03,-602.35596E-03
-20.37500E-03,-271.35678E-03,+351.75879E-03,-582.27539E-03
-20.35000E-03,-221.10553E-03,+361.80904E-03,-562.19482E-03
-20.32500E-03,-231.15578E-03,+351.75879E-03,-562.19482E-03
-20.30000E-03,-201.00502E-03,+361.80904E-03,-562.19482E-03
-20.27500E-03,-170.85427E-03,+321.60804E-03,-522.03369E-03
-20.25000E-03,-180.90452E-03,+321.60804E-03,-562.19482E-03
-20.22500E-03,-160.80402E-03,+391.95979E-03,-562.19482E-03
-20.20000E-03,-160.80402E-03,+361.80904E-03,-522.03369E-03
-20.17500E-03,-120.60301E-03,+351.75879E-03,-511.99341E-03
-20.15000E-03,-140.70352E-03,+381.90954E-03,-522.03369E-03
-20.12500E-03,-120.60301E-03,+361.80904E-03,-481.87256E-03
-20.10000E-03,-120.60301E-03,+361.80904E-03,-481.87256E-03
-20.07500E-03,-90.45226E-03,+402.01005E-03,-471.83228E-03
-20.05000E-03,-80.40201E-03,+381.90954E-03,-461.79199E-03
-20.02500E-03,-80.40201E-03,+402.01005E-03,-441.71143E-03
-20.00000E-03,-80.40201E-03,+402.01005E-03,-441.71143E-03
-19.97500E-03,-40.20100E-03,+371.85929E-03,-421.63086E-03
-19.95000E-03,-60.30151E-03,+402.01005E-03,-441.71143E-03
-19.92500E-03,-30.15075E-03,+432.16080E-03,-441.71143E-03
-19.90000E-03,+0.0E+00,+402.01005E-03,-401.55029E-03
-19.87500E-03,+30.15075E-03,+402.01005E-03,-401.55029E-03
-19.85000E-03,+0.0E+00,+422.11055E-03,-401.55029E-03
-19.82500E-03,+40.20100E-03,+432.16080E-03,-401.55029E-03
-19.80000E-03,+40.20100E-03,+442.21105E-03,-361.38916E-03
-19.77500E-03,+40.20100E-03,+442.21105E-03,-361.38916E-03
-19.75000E-03,+80.40201E-03,+422.11055E-03,-381.46973E-03
-19.72500E-03,+80.40201E-03,+442.21105E-03,-381.46973E-03
-19.70000E-03,+40.20100E-03,+442.21105E-03,-321.22803E-03
-19.67500E-03,+90.45226E-03,+442.21105E-03,-361.38916E-03
-19.65000E-03,+120.60301E-03,+422.11055E-03,-341.30859E-03
-19.62500E-03,+130.65326E-03,+442.21105E-03,-321.22803E-03
-19.60000E-03,+120.60301E-03,+482.41206E-03,-321.22803E-03
-19.57500E-03,+160.80402E-03,+442.21105E-03,-321.22803E-03
-19.55000E-03,+180.90452E-03,+462.31155E-03,-281.06689E-03
-19.52500E-03,+160.80402E-03,+452.26130E-03,-281.06689E-03
-19.50000E-03,+201.00502E-03,+442.21105E-03,-281.06689E-03
-19.47500E-03,+231.15578E-03,+472.36180E-03,-240.90576E-03
-19.45000E-03,+221.10553E-03,+482.41206E-03,-240.90576E-03
-19.42500E-03,+211.05527E-03,+482.41206E-03,-281.06689E-03
-19.40000E-03,+241.20603E-03,+482.41206E-03,-200.74463E-03
-19.37500E-03,+271.35678E-03,+482.41206E-03,-240.90576E-03
-19.35000E-03,+261.30653E-03,+482.41206E-03,-200.74463E-03
-19.32500E-03,+281.40703E-03,+482.41206E-03,-200.74463E-03
-19.30000E-03,+321.60804E-03,+522.61306E-03,-200.74463E-03
-19.27500E-03,+311.55779E-03,+482.41206E-03,-200.74463E-03
-19.25000E-03,+321.60804E-03,+502.51256E-03,-200.74463E-03
-19.22500E-03,+331.65829E-03,+522.61306E-03,-160.58350E-03
-19.20000E-03,+361.80904E-03,+522.61306E-03,-160.58350E-03
-19.17500E-03,+351.75879E-03,+512.56281E-03,-160.58350E-03
-19.15000E-03,+361.80904E-03,+502.51256E-03,-120.42236E-03
-19.12500E-03,+361.80904E-03,+512.56281E-03,-130.46265E-03
-19.10000E-03,+361.80904E-03,+522.61306E-03,-120.42236E-03
-19.07500E-03,+412.06030E-03,+522.61306E-03,-140.50293E-03
-19.05000E-03,+402.01005E-03,+542.71356E-03,-120.42236E-03
-19.02500E-03,+442.21105E-03,+532.66331E-03,-120.42236E-03
-19.00000E-03,+442.21105E-03,+522.61306E-03,-80.26123E-03
-18.97500E-03,+442.21105E-03,+532.66331E-03,-80.26123E-03
-18.95000E-03,+482.41206E-03,+542.71356E-03,-40.10010E-03
-18.92500E-03,+482.41206E-03,+552.76381E-03,-70.22095E-03
-18.90000E-03,+482.41206E-03,+522.61306E-03,-40.10010E-03
-18.87500E-03,+522.61306E-03,+562.81406E-03,-40.10010E-03
-18.85000E-03,+502.51256E-03,+562.81406E-03,-20.01953E-03
-18.82500E-03,+552.76381E-03,+522.61306E-03,+61.04E-06
-18.80000E-03,+562.81406E-03,+522.61306E-03,+61.04E-06
